# Energy Density	Pressure	Density
7.729472610000000259e+02	3.562886809999999969e+02	6.275199999999999667e-01
7.827668439999999919e+02	3.633048049999999876e+02	6.329599999999999671e-01
7.926469150000000354e+02	3.703641680000000065e+02	6.383999999999999675e-01
8.025873249999999643e+02	3.774663810000000126e+02	6.438399999999999679e-01
8.125879250000000411e+02	3.846110639999999989e+02	6.492799999999999683e-01
8.226485649999999623e+02	3.917978410000000054e+02	6.547199999999999687e-01
8.327690929999999980e+02	3.990263439999999946e+02	6.601599999999999691e-01
8.429493589999999585e+02	4.062962079999999787e+02	6.655999999999999694e-01
8.531892110000000002e+02	4.136070750000000089e+02	6.710399999999999698e-01
8.634884970000000521e+02	4.209585920000000101e+02	6.764799999999999702e-01
8.738470640000000458e+02	4.283504110000000082e+02	6.819199999999999706e-01
8.842647600000000239e+02	4.357821870000000217e+02	6.873599999999999710e-01
8.947414320000000316e+02	4.432535829999999919e+02	6.927999999999999714e-01
9.052769260000000031e+02	4.507642630000000281e+02	6.982399999999999718e-01
9.158710889999999836e+02	4.583138989999999922e+02	7.036799999999999722e-01
9.265237660000000233e+02	4.659021660000000224e+02	7.091199999999999726e-01
9.372348050000000512e+02	4.735287410000000250e+02	7.145599999999999730e-01
9.480040510000000040e+02	4.811933080000000018e+02	7.199999999999999734e-01
9.588313510000000406e+02	4.888955540000000042e+02	7.254399999999999737e-01
9.697165499999999838e+02	4.966351700000000164e+02	7.308799999999999741e-01
9.806594949999999926e+02	5.044118510000000128e+02	7.363199999999999745e-01
9.916600320000000011e+02	5.122252949999999601e+02	7.417599999999999749e-01
1.002718005999999946e+03	5.200752049999999826e+02	7.471999999999999753e-01
1.013833263999999986e+03	5.279612849999999753e+02	7.526399999999999757e-01
1.025005652000000055e+03	5.358832469999999830e+02	7.580799999999999761e-01
1.036235018000000082e+03	5.438408010000000559e+02	7.635199999999999765e-01
1.047521205999999893e+03	5.518336659999999938e+02	7.689599999999999769e-01
1.058864064999999982e+03	5.598615590000000566e+02	7.743999999999999773e-01
1.070263441000000057e+03	5.679242030000000341e+02	7.798399999999999777e-01
1.081719180999999935e+03	5.760213250000000471e+02	7.852799999999999780e-01
1.093231134000000111e+03	5.841526539999999841e+02	7.907199999999999784e-01
1.104799144999999953e+03	5.923179209999999557e+02	7.961599999999999788e-01
1.116423064999999951e+03	6.005168619999999464e+02	8.015999999999999792e-01
1.128102740000000040e+03	6.087492150000000493e+02	8.070399999999999796e-01
1.139838019000000031e+03	6.170147200000000112e+02	8.124799999999999800e-01
1.151628750000000082e+03	6.253131220000000212e+02	8.179199999999999804e-01
1.163474785000000111e+03	6.336441680000000360e+02	8.233599999999999808e-01
1.175375970000000052e+03	6.420076070000000072e+02	8.287999999999999812e-01
1.187332157000000052e+03	6.504031919999999900e+02	8.342399999999999816e-01
1.199343194999999923e+03	6.588306770000000370e+02	8.396799999999999820e-01
1.211408936000000040e+03	6.672898199999999633e+02	8.451199999999999823e-01
1.223529228999999987e+03	6.757803810000000340e+02	8.505599999999999827e-01
1.235703927000000022e+03	6.843021240000000489e+02	8.559999999999999831e-01
1.247932880000000068e+03	6.928548140000000330e+02	8.614399999999999835e-01
1.260215940999999930e+03	7.014382180000000062e+02	8.668799999999999839e-01
1.272552963000000091e+03	7.100521079999999756e+02	8.723199999999999843e-01
1.284943798000000015e+03	7.186962569999999459e+02	8.777599999999999847e-01
1.297388300000000072e+03	7.273704390000000330e+02	8.831999999999999851e-01
1.309886320999999953e+03	7.360744320000000016e+02	8.886399999999999855e-01
1.322437717000000021e+03	7.448080179999999473e+02	8.940799999999999859e-01
1.335042343000000074e+03	7.535709769999999708e+02	8.995199999999999863e-01
1.347700053000000025e+03	7.623630950000000439e+02	9.049599999999999866e-01
1.360410701999999901e+03	7.711841600000000199e+02	9.103999999999999870e-01
1.373174146999999948e+03	7.800339589999999816e+02	9.158399999999999874e-01
1.385990244000000075e+03	7.889122859999999946e+02	9.212799999999999878e-01
1.398858850999999959e+03	7.978189330000000155e+02	9.267199999999999882e-01
1.411779823999999962e+03	8.067536959999999908e+02	9.321599999999999886e-01
1.424753020999999990e+03	8.157163729999999759e+02	9.375999999999999890e-01
1.437778301000000056e+03	8.247067660000000160e+02	9.430399999999999894e-01
1.450855522999999948e+03	8.337246740000000500e+02	9.484799999999999898e-01
1.463984545999999909e+03	8.427699039999999968e+02	9.539199999999999902e-01
1.477165230000000065e+03	8.518422610000000077e+02	9.593599999999999905e-01
1.490397433999999976e+03	8.609415529999999990e+02	9.647999999999999909e-01
1.503681021000000101e+03	8.700675919999999905e+02	9.702399999999999913e-01
1.517015851000000112e+03	8.792201880000000074e+02	9.756799999999999917e-01
1.530401785999999902e+03	8.883991569999999456e+02	9.811199999999999921e-01
1.543838688999999931e+03	8.976043140000000449e+02	9.865599999999999925e-01
1.557326422000000093e+03	9.068354769999999689e+02	9.919999999999999929e-01
1.570864849000000049e+03	9.160924670000000560e+02	9.974399999999999933e-01
1.584453833000000031e+03	9.253751049999999623e+02	1.002879999999999994e+00
1.598093239999999923e+03	9.346832150000000183e+02	1.008320000000000105e+00
1.611782932999999957e+03	9.440166219999999839e+02	1.013759999999999994e+00
1.625522778999999900e+03	9.533751539999999522e+02	1.019200000000000106e+00
1.639312642999999980e+03	9.627586380000000190e+02	1.024639999999999995e+00
1.653152391999999963e+03	9.721669070000000374e+02	1.030080000000000107e+00
1.667041893000000073e+03	9.815997919999999795e+02	1.035519999999999996e+00
1.680981013000000075e+03	9.910571280000000343e+02	1.040960000000000107e+00
1.694969620000000077e+03	1.000538750000000050e+03	1.046399999999999997e+00
1.709007583999999952e+03	1.010044495999999981e+03	1.051840000000000108e+00
1.723094771999999921e+03	1.019574206000000004e+03	1.057279999999999998e+00
1.737231054999999969e+03	1.029127719000000070e+03	1.062720000000000109e+00
1.751416302999999971e+03	1.038704878999999892e+03	1.068159999999999998e+00
1.765650386000000026e+03	1.048305530000000090e+03	1.073600000000000110e+00
1.779933174999999892e+03	1.057929517000000033e+03	1.079039999999999999e+00
1.794264543000000003e+03	1.067576686999999993e+03	1.084480000000000111e+00
1.808644360999999890e+03	1.077246889000000010e+03	1.089920000000000000e+00
1.823072503000000097e+03	1.086939973000000009e+03	1.095359999999999889e+00
1.837548841000000039e+03	1.096655790999999908e+03	1.100800000000000001e+00
1.852073249999999916e+03	1.106394197000000077e+03	1.106239999999999890e+00
1.866645602999999937e+03	1.116155044999999973e+03	1.111680000000000001e+00
1.881265775999999960e+03	1.125938190999999961e+03	1.117119999999999891e+00
1.895933643999999958e+03	1.135743492999999944e+03	1.122560000000000002e+00
1.910649081999999908e+03	1.145570809999999938e+03	1.127999999999999892e+00
1.925411967999999888e+03	1.155420002999999951e+03	1.133440000000000003e+00
1.940222177000000102e+03	1.165290932999999995e+03	1.138879999999999892e+00
1.955079588999999942e+03	1.175183463999999958e+03	1.144320000000000004e+00
1.969984079999999949e+03	1.185097459999999955e+03	1.149759999999999893e+00
1.984935529000000088e+03	1.195032787000000098e+03	1.155200000000000005e+00
1.999933815000000095e+03	1.204989313000000038e+03	1.160639999999999894e+00
2.014978816999999935e+03	1.214966906000000108e+03	1.166080000000000005e+00
2.030070416000000023e+03	1.224965437000000065e+03	1.171519999999999895e+00
2.045208493000000090e+03	1.234984776000000011e+03	1.176960000000000006e+00
2.060392926999999872e+03	1.245024795999999924e+03	1.182399999999999896e+00
2.075623602000000119e+03	1.255085370999999896e+03	1.187840000000000007e+00
